resp_var,pred,res,abs res,per res,abs per res,MAE,MAPE
36,23.902,12.098,12.098,33.61%,33.61%,,
67,58.8,8.2,8.2,12.24%,12.24%,,
88,85.1,2.9,2.9,3.30%,3.30%,,
1,22.1,-21.1,21.1,-2110.00%,2110.00%,,
1,8.6,-7.6,7.6,-760.00%,760.00%,,
7,14.701,-7.701,7.701,-110.01%,110.01%,,
0.01,8.906,-8.896,8.896,-88960.00%,88960.00%,,
35,25.901,9.099,9.099,26.00%,26.00%,,
57,60.1,-3.1,3.1,-5.44%,5.44%,,
12,33.4,-21.4,21.4,-178.33%,178.33%,,
43,49.7,-6.7,6.7,-15.58%,15.58%,,
16,26.4,-10.4,10.4,-65.00%,65.00%,,
7,5.1,1.9,1.9,27.14%,27.14%,,
29,35.7,-6.7,6.7,-23.10%,23.10%,,
3,6.3,-3.3,3.3,-110.00%,110.00%,,
36,37.6,-1.6,1.6,-4.44%,4.44%,,
47,54.1,-7.1,7.1,-15.11%,15.11%,,
73,62.5,10.5,10.5,14.38%,14.38%,,
28,25.201,2.799,2.799,10.00%,10.00%,,
25,47.4,-22.4,22.4,-89.60%,89.60%,,
14,24.4,-10.4,10.4,-74.29%,74.29%,,
9,42.9,-33.9,33.9,-376.67%,376.67%,,
10,14.9,-4.9,4.9,-49.00%,49.00%,,
1,5.3,-4.3,4.3,-430.00%,430.00%,,
122,110.7,11.3,11.3,9.26%,9.26%,,
18,22.7,-4.7,4.7,-26.11%,26.11%,,
41,41.9,-0.9,0.9,-2.20%,2.20%,,
22,21.401,0.599,0.599,2.72%,2.72%,,
35,55.9,-20.9,20.9,-59.71%,59.71%,,
4,18.102,-14.102,14.102,-352.55%,352.55%,,
54,48.8,5.2,5.2,9.63%,9.63%,,
69,61.9,7.1,7.1,10.29%,10.29%,,
33,35.5,-2.5,2.5,-7.58%,7.58%,,
0.01,12.206,-12.196,12.196,-121960.00%,121960.00%,,
51,36.801,14.199,14.199,27.84%,27.84%,,
108,75.301,32.699,32.699,30.28%,30.28%,,
33,53.5,-20.5,20.5,-62.12%,62.12%,,
72,58.5,13.5,13.5,18.75%,18.75%,,
10,13.9,-3.9,3.9,-39.00%,39.00%,,
70,63.4,6.6,6.6,9.43%,9.43%,,
17,15.2,1.8,1.8,10.59%,10.59%,,
12,15,-3,3,-25.00%,25.00%,,
23,47,-24,24,-104.35%,104.35%,,
35,39.8,-4.8,4.8,-13.71%,13.71%,,
6,14.6,-8.6,8.6,-143.33%,143.33%,,
35,44.7,-9.7,9.7,-27.71%,27.71%,,
25,26.4,-1.4,1.4,-5.60%,5.60%,,
1,11.3,-10.3,10.3,-1030.00%,1030.00%,,
12,10.9,1.1,1.1,9.17%,9.17%,,
13,22.201,-9.201,9.201,-70.78%,70.78%,,
16,26.7,-10.7,10.7,-66.88%,66.88%,,
12,11.2,0.8,0.8,6.67%,6.67%,,
90,77.1,12.9,12.9,14.33%,14.33%,,
67,51.1,15.9,15.9,23.73%,23.73%,,
27,37.5,-10.5,10.5,-38.89%,38.89%,,
36,35,1,1,2.78%,2.78%,,
31,26.9,4.1,4.1,13.23%,13.23%,,
51,44.1,6.9,6.9,13.53%,13.53%,,
9,16.8,-7.8,7.8,-86.67%,86.67%,,
93,61.2,31.8,31.8,34.19%,34.19%,,
101,76.7,24.3,24.3,24.06%,24.06%,,
4,13.9,-9.9,9.9,-247.50%,247.50%,,
23,30.6,-7.6,7.6,-33.04%,33.04%,,
164,157.7,6.3,6.3,3.84%,3.84%,,
21,21,0,0,0.00%,0.00%,,
16,9.701,6.299,6.299,39.37%,39.37%,,
61,50.3,10.7,10.7,17.54%,17.54%,,
6,29.3,-23.3,23.3,-388.33%,388.33%,,
9,35.401,-26.401,26.401,-293.34%,293.34%,,
31,43.1,-12.1,12.1,-39.03%,39.03%,,
5,20.5,-15.5,15.5,-310.00%,310.00%,,
29,29.1,-0.1,0.1,-0.34%,0.34%,,
31,32.101,-1.101,1.101,-3.55%,3.55%,,
36,42.5,-6.5,6.5,-18.06%,18.06%,,
25,23,2,2,8.00%,8.00%,,
98,63.701,34.299,34.299,35.00%,35.00%,,
49,53.9,-4.9,4.9,-10.00%,10.00%,,
