,Name,player,Team,opp,venue,Home_f,Round,Full_Name,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3,season,rank,rank_group,exp_pts
73,Xavier Bartlett,XC Bartlett,Brisbane Heat,Perth Scorchers,GABBA,1,3,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,50.507302
74,Xavier Bartlett,XC Bartlett,Brisbane Heat,Melbourne Stars,GABBA,1,4,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,51.363702
75,Xavier Bartlett,XC Bartlett,Brisbane Heat,Sydney Sixers,Other,0,5,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,48.239904
76,Xavier Bartlett,XC Bartlett,Brisbane Heat,Sydney Thunder,GABBA,1,6,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,50.69492
77,Xavier Bartlett,XC Bartlett,Brisbane Heat,Adelaide Strikers,Adelaide Oval,0,7,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,46.355504
78,Xavier Bartlett,XC Bartlett,Brisbane Heat,Hobart Hurricanes,GABBA,1,8,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,47.525302
79,Xavier Bartlett,XC Bartlett,Brisbane Heat,Melbourne Renegades,Marvel,0,9,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.66666666666666,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0,14,3,Middle,49.433202
80,James Bazley,JJ Bazley,Adelaide Strikers,Sydney Thunder,Other,0,1,James Bazley,153.0,21.857142857142858,58.0,1.0,14.0,22.025958711094894,7.0,730.0,48.66666666666666,146.0,3.0,35.0,44.093515342259735,15.0,660.0,60.0,115.0,23.0,56.0,28.421822601655933,11.0,14,5,Middle,27.98180816666666
81,James Bazley,JJ Bazley,Adelaide Strikers,Melbourne Stars,Adelaide Oval,1,2,James Bazley,153.0,21.857142857142858,58.0,1.0,14.0,22.025958711094894,7.0,730.0,48.66666666666666,146.0,3.0,35.0,44.093515342259735,15.0,660.0,60.0,115.0,23.0,56.0,28.421822601655933,11.0,14,5,Middle,24.731571999999975
82,James Bazley,JJ Bazley,Adelaide Strikers,Brisbane Heat,GABBA,0,2,James Bazley,153.0,21.857142857142858,58.0,1.0,14.0,22.025958711094894,7.0,730.0,48.66666666666666,146.0,3.0,35.0,44.093515342259735,15.0,660.0,60.0,115.0,23.0,56.0,28.421822601655933,11.0,14,5,Middle,26.96827933333332
83,James Bazley,JJ Bazley,Adelaide Strikers,Hobart Hurricanes,Adelaide Oval,1,3,James Bazley,153.0,21.857142857142858,58.0,1.0,14.0,22.025958711094894,7.0,730.0,48.66666666666666,146.0,3.0,35.0,44.093515342259735,15.0,660.0,60.0,115.0,23.0,56.0,28.421822601655933,11.0,14,5,Middle,26.487115999999933
84,James Bazley,JJ Bazley,Adelaide Strikers,Perth Scorchers,Adelaide Oval,1,4,James Bazley,153.0,21.857142857142858,58.0,1.0,14.0,22.025958711094894,7.0,730.0,48.66666666666666,146.0,3.0,35.0,44.093515342259735,15.0,660.0,60.0,115.0,23.0,56.0,28.421822601655933,11.0,14,5,Middle,27.06310999999998
85,James Bazley,JJ Bazley,Adelaide Strikers,Melbourne Renegades,Marvel,0,4,James Bazley,153.0,21.857142857142858,58.0,1.0,14.0,22.025958711094894,7.0,730.0,48.66666666666666,146.0,3.0,35.0,44.093515342259735,15.0,660.0,60.0,115.0,23.0,56.0,28.421822601655933,11.0,14,5,Middle,31.889167999999987
86,James Bazley,JJ Bazley,Adelaide Strikers,Hobart Hurricanes,Hobart,0,5,James Bazley,153.0,21.857142857142858,58.0,1.0,14.0,22.025958711094894,7.0,730.0,48.66666666666666,146.0,3.0,35.0,44.093515342259735,15.0,660.0,60.0,115.0,23.0,56.0,28.421822601655933,11.0,14,5,Middle,27.631179333333268
