,player,match_id,innings,bat_position
4,KA Pollard,1023589.0,2.0,5.0
5,JS Lehmann,1023589.0,2.0,6.0
6,CJ Jordan,1023589.0,2.0,7.0
7,MG Neser,1023589.0,2.0,8.0
8,KW Richardson,1023589.0,2.0,9.0
9,LN O'Connor,1023589.0,2.0,10.0
10,B Stanlake,1023589.0,2.0,11.0
0,TD Paine,1023587.0,1.0,1.0
1,DJM Short,1023587.0,1.0,2.0
2,KC Sangakkara,1023587.0,1.0,3.0
3,GJ Bailey,1023587.0,1.0,4.0
4,DT Christian,1023587.0,1.0,5.0
5,DP Michael,1023587.0,1.0,6.0
6,CJ Boyce,1023587.0,1.0,7.0
7,HP Kingston,1023587.0,1.0,8.0
0,JJ Roy,1023587.0,2.0,1.0
1,JC Silk,1023587.0,2.0,2.0
2,MC Henriques,1023587.0,2.0,3.0
3,BJ Haddin,1023587.0,2.0,4.0
4,SW Billings,1023587.0,2.0,5.0
5,J Botha,1023587.0,2.0,6.0
6,SNJ O'Keefe,1023587.0,2.0,7.0
7,SA Abbott,1023587.0,2.0,8.0
8,BJ Dwarshuis,1023587.0,2.0,9.0
9,DE Bollinger,1023587.0,2.0,10.0
10,JM Mennie,1023587.0,2.0,11.0
0,MS Harris,1023585.0,1.0,1.0
1,AJ Finch,1023585.0,1.0,2.0
2,CL White,1023585.0,1.0,3.0
3,CJ Ferguson,1023585.0,1.0,4.0
4,DJ Bravo,1023585.0,1.0,5.0
5,TLW Cooper,1023585.0,1.0,6.0
6,PM Nevill,1023585.0,1.0,7.0
7,CP Tremain,1023585.0,1.0,8.0
8,SP Narine,1023585.0,1.0,9.0
0,KR Patterson,1023585.0,2.0,1.0
1,EJG Morgan,1023585.0,2.0,2.0
2,RJ Gibson,1023585.0,2.0,3.0
3,BJ Rohrer,1023585.0,2.0,4.0
4,AD Russell,1023585.0,2.0,5.0
5,PJ Cummins,1023585.0,2.0,6.0
6,AJ Nair,1023585.0,2.0,7.0
7,CJ Green,1023585.0,2.0,8.0
8,JR Doran,1023585.0,2.0,9.0
9,Fawad Ahmed,1023585.0,2.0,10.0
0,JJ Peirson,1023583.0,1.0,1.0
1,BB McCullum,1023583.0,1.0,2.0
2,AI Ross,1023583.0,1.0,3.0
3,CA Lynn,1023583.0,1.0,4.0
4,BCJ Cutting,1023583.0,1.0,5.0
5,JA Burns,1023583.0,1.0,6.0
0,J Weatherald,1023583.0,2.0,1.0
1,BR Dunk,1023583.0,2.0,2.0
2,TM Head,1023583.0,2.0,3.0
3,BJ Hodge,1023583.0,2.0,4.0
4,KA Pollard,1023583.0,2.0,5.0
5,JS Lehmann,1023583.0,2.0,6.0
6,CJ Jordan,1023583.0,2.0,7.0
0,KR Patterson,1023581.0,1.0,1.0
1,RJ Gibson,1023581.0,1.0,2.0
2,EJG Morgan,1023581.0,1.0,3.0
3,BJ Rohrer,1023581.0,1.0,4.0
4,JR Doran,1023581.0,1.0,5.0
5,AD Russell,1023581.0,1.0,6.0
6,CJ Green,1023581.0,1.0,7.0
7,PJ Cummins,1023581.0,1.0,8.0
8,CJ McKay,1023581.0,1.0,9.0
